number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,latitude,longitude,timestamp
42,dublin,SMITHFIELD NORTH,Smithfield North,FALSE,FALSE,30,4,26,OPEN,1.74203E+12,53.349562,-6.278198,3/15/2025 9:38
30,dublin,PARNELL SQUARE NORTH,Parnell Square North,FALSE,FALSE,20,20,0,OPEN,1.74203E+12,53.35374155,-6.265301448,3/15/2025 9:38
54,dublin,CLONMEL STREET,Clonmel Street,FALSE,FALSE,33,24,9,OPEN,1.74203E+12,53.336021,-6.26298,3/15/2025 9:38
108,dublin,AVONDALE ROAD,Avondale Road,FALSE,FALSE,35,31,4,OPEN,1.74203E+12,53.359405,-6.276142,3/15/2025 9:38
20,dublin,JAMES STREET EAST,James Street East,FALSE,FALSE,30,27,3,OPEN,1.74203E+12,53.336597,-6.248109,3/15/2025 9:38
56,dublin,MOUNT STREET LOWER,Mount Street Lower,FALSE,FALSE,40,38,2,OPEN,1.74203E+12,53.33796,-6.24153,3/15/2025 9:38
6,dublin,CHRISTCHURCH PLACE,Christchurch Place,FALSE,FALSE,20,11,9,OPEN,1.74203E+12,53.343368,-6.27012,3/15/2025 9:38
18,dublin,GRANTHAM STREET,Grantham Street,FALSE,FALSE,30,25,5,OPEN,1.74203E+12,53.334123,-6.265436,3/15/2025 9:38
32,dublin,PEARSE STREET,Pearse Street,FALSE,FALSE,30,12,18,OPEN,1.74203E+12,53.344304,-6.250427,3/15/2025 9:38
52,dublin,YORK STREET EAST,York Street East,FALSE,FALSE,32,25,7,OPEN,1.74203E+12,53.338755,-6.262003,3/15/2025 9:38
48,dublin,EXCISE WALK,Excise Walk,FALSE,FALSE,40,26,14,OPEN,1.74203E+12,53.347777,-6.244239,3/15/2025 9:38
13,dublin,FITZWILLIAM SQUARE WEST,Fitzwilliam Square West,FALSE,FALSE,30,27,3,OPEN,1.74203E+12,53.336074,-6.252825,3/15/2025 9:38
43,dublin,PORTOBELLO ROAD,Portobello Road,FALSE,FALSE,30,24,6,OPEN,1.74203E+12,53.330091,-6.268044,3/15/2025 9:38
31,dublin,PARNELL STREET,Parnell Street,FALSE,FALSE,20,11,9,OPEN,1.74203E+12,53.350929,-6.265125,3/15/2025 9:38
98,dublin,FREDERICK STREET SOUTH,Frederick Street South,FALSE,FALSE,40,36,2,OPEN,1.74203E+12,53.341515,-6.256853,3/15/2025 9:38
