Timestamp,City,Temperature,Weather,Humidity,Wind Speed
3/15/2025 9:34,Dublin,5.9,few clouds,88,1.54
3/15/2025 9:38,Dublin,6.93,few clouds,87,1.54
3/15/2025 9:39,Dublin,6.93,few clouds,87,1.54
3/15/2025 10:39,Dublin,8.03,few clouds,77,3.09
3/15/2025 11:39,Dublin,8.7,scattered clouds,66,3.6
3/15/2025 12:39,Dublin,8.67,scattered clouds,66,3.58
3/15/2025 13:39,Dublin,8.97,scattered clouds,65,2.57
3/15/2025 14:39,Dublin,9.18,scattered clouds,63,2.06
3/15/2025 15:39,Dublin,8.82,scattered clouds,65,2.57
3/15/2025 16:39,Dublin,8.59,scattered clouds,67,3.09
3/15/2025 17:39,Dublin,7.93,scattered clouds,66,3.09
3/15/2025 18:39,Dublin,6.77,broken clouds,68,2.06
3/15/2025 19:39,Dublin,6.03,broken clouds,72,1.54
3/15/2025 20:39,Dublin,6.19,broken clouds,73,2.06
3/15/2025 21:39,Dublin,6.1,broken clouds,75,2.06
